userstopcode;userstopareacode;stopname
54280040;wtrhhs;Wateringen, Harry Hoekstraat
54280056;wtrpln;Wateringen, Plein
54280150;wtrpln;Wateringen, Plein
54280170;khlrhb;Kwintsheul, Raaphorstbrug
54280180;khlrhb;Kwintsheul, Raaphorstbrug
54280190;khlrk;Kwintsheul, RK Kerk
54280200;khlrk;Kwintsheul, RK Kerk
54280250;dhglvw;Den Haag, Laan van Wateringse Veld
54280260;dhglvw;Den Haag, Laan van Wateringse Veld
54280370;dhghog;Den Haag, Hoge Veld
54280380;dhghog;Den Haag, Hoge Veld
54280390;dhgoos;Den Haag, Oosteinde
54280400;dhgoos;Den Haag, Oosteinde
54280410;dhglve;Den Haag, Lage Veld
54280420;dhglve;Den Haag, Lage Veld
54280430;dhgpp;Den Haag, Parijsplein
54280440;dhgpp;Den Haag, Parijsplein
54280450;dhgpsb;Den Haag, Paul Steenbergenlaan
54280460;dhgpsb;Den Haag, Paul Steenbergenlaan
54280510;dhgndw;Den Haag, Noordweg
54280520;dhgndw;Den Haag, Noordweg
54287005;Z2839;Zonegrens 5428/5439
54287048;Z2837;Zonegrens 5428/5437
54287049;Z1928;Zonegrens 5419/5428
54288901;;NPKAR1120
54288907;;NPKAR 1121
54289015;;NPIVU 9015
54289016;;NPIVU 9016
54290010;pdkpcl;Poeldijk, Paul Captijnlaan
54290030;msrvlo;Monster, Vlotlaan
54290040;msrvlo;Monster, Vlotlaan
54290050;pdkwei;Poeldijk, Dr. Weitjenslaan
54290060;pdkwei;Poeldijk, Dr. Weitjenslaan
54290170;msrmad;Monster, Madeweg
54290180;msrmad;Monster, Madeweg
54290190;msrver;Monster, Verdilaan
54290200;msrver;Monster, Verdilaan
54290210;msrppl;Monster, Papelaan
54290230;msrbk;Monster, Burg. Kampschoerstraat
54290240;msrbk;Monster, Burg. Kampschoerstraat
